 INFO  Accepting connections at http://localhost:5173
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 3 ms
 HTTP  24/7/2026 2:04:36 am ::1 GET /infographics/Infographic_17.jpg
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 4 ms
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 4 ms
 HTTP  24/7/2026 2:04:36 am ::1 GET /infographics/Infographic_18.jpg
 HTTP  24/7/2026 2:04:36 am ::1 GET /infographics/Infographic_19.jpg
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 5 ms
 HTTP  24/7/2026 2:04:36 am ::1 GET /infographics/Infographic_20.jpg
 HTTP  24/7/2026 2:04:36 am ::1 GET /infographics/Infographic_21.jpg
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 5 ms
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 3 ms
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 3 ms
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 2 ms
 HTTP  24/7/2026 2:04:36 am ::1 Returned 304 in 2 ms
 HTTP  24/7/2026 2:04:56 am ::1 GET /logo.png
 HTTP  24/7/2026 2:04:56 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:04:57 am ::1 GET /announcement.jpg
 HTTP  24/7/2026 2:04:57 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:04:57 am ::1 GET /team/Karthiga%20P.jpg
 HTTP  24/7/2026 2:04:57 am ::1 Returned 200 in 0 ms
 HTTP  24/7/2026 2:05:03 am ::1 GET /
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:05:03 am ::1 GET /assets/index-BTSIYRpt.js
 HTTP  24/7/2026 2:05:03 am ::1 GET /assets/index-HxGKRYyx.css
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 2 ms
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 2 ms
 HTTP  24/7/2026 2:05:03 am ::1 GET /logo.png
 HTTP  24/7/2026 2:05:03 am ::1 GET /announcement.jpg
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:05:03 am ::1 GET /infographics/Infographic_1.jpg
 HTTP  24/7/2026 2:05:03 am ::1 GET /infographics/Infographic_2.jpg
 HTTP  24/7/2026 2:05:03 am ::1 GET /team/arulmanikandan%20B.jpg
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 2 ms
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:05:03 am ::1 GET /team/Karthiga%20P.jpg
 HTTP  24/7/2026 2:05:03 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:05:04 am ::1 GET /logo.png
 HTTP  24/7/2026 2:05:04 am ::1 Returned 304 in 1 ms
 HTTP  24/7/2026 2:06:21 am ::1 GET /logo.png
 HTTP  24/7/2026 2:06:21 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:06:21 am ::1 GET /announcement.jpg
 HTTP  24/7/2026 2:06:21 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:06:21 am ::1 GET /team/arulmanikandan%20B.jpg
 HTTP  24/7/2026 2:06:21 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:06:21 am ::1 GET /team/Karthiga%20P.jpg
 HTTP  24/7/2026 2:06:21 am ::1 Returned 200 in 1 ms
 HTTP  24/7/2026 2:06:21 am ::1 GET /team/anujaa%20B.png
 HTTP  24/7/2026 2:06:21 am ::1 Returned 200 in 1 ms
